block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24020111,229096,15011,13782,9915858944
24020112,421413,24475,12312,9924526080
24020113,943700,41812,14286,9947201536
24020114,355627,24944,13603,9955033088
24020115,497758,11697,11909,9965469696
24020116,445185,26220,13453,9975971840
24020117,295389,16000,14296,9981575168
24020118,693170,31498,13985,9996500992
24020119,370029,25145,14056,10004922368
24020120,442649,27066,14117,10014310400
24020121,258840,13833,13050,10019291136
24020122,285453,7594,11631,10023976960
24020123,123234,2061,11347,10026401792
24020124,604585,40483,14598,10040688640
24020125,486637,35150,12928,10051338240
24020126,390067,12201,12815,10059268096
24020127,458236,9973,12505,10068819968
24020128,206845,10125,12114,10073948160
24020129,475855,7080,11898,10082353152
24020130,385136,18940,13605,10094313472
24020131,370388,15357,13551,10103619584
24020132,327121,22415,13379,10109927424
24020133,556991,24037,13934,10123640832
24020134,558454,39107,12687,10135158784
24020135,479065,25447,16605,10146627584
24020136,265873,19574,13345,10152034304
24020137,653504,37204,14142,10166124544
24020138,421602,20032,13671,10175987712
24020139,429649,24750,13768,10185064448
24020140,479919,31847,14775,10195288064
24020141,365835,9988,12545,10203398144
24020142,471451,26343,14429,10215211008
24020143,343096,22348,17116,10222764032
24020144,146041,1873,10963,10224615424
24020145,760161,28286,14205,10242752512
24020146,297445,11348,12489,10250895360
24020147,309001,17747,13520,10259316736
24020148,102290,4825,11821,10261659648
24020149,706631,33964,11367,10276290560
24020150,374996,26945,12944,10284810240
24020151,336499,28686,14646,10292051968
24020152,312012,16558,14125,10298343424
24020153,573129,33211,13628,10310795264
24020154,461143,16316,14020,10321543168
24020155,346655,18518,13841,10330013696
24020156,467465,34843,12521,10338828288
24020157,452137,28976,14565,10348904448
24020158,224640,14504,14057,10353295360
24020159,469503,24906,12319,10362634240
24020160,600366,29134,14572,10377183232
24020161,578390,24423,14471,10392567808
24020162,579794,41892,15791,10403938304
24020163,376590,16123,12704,10411720704
24020164,385818,38806,14670,10419929088
24020165,427426,26050,14488,10429022208
24020166,365104,20247,12395,10437246976
24020167,162602,7565,13070,10440523776
24020168,348567,14462,14825,10448486400
24020169,813830,44466,13019,10464542720
24020170,467391,24854,15166,10475536384
24020171,372153,24435,14761,10483564544
24020172,390421,11951,13507,10491838464
24020173,208029,5839,13134,10498195456
24020174,432771,13619,14016,10509271040
24020175,403495,26914,14930,10519609344
24020176,390706,30916,15103,10527997952
24020177,471227,13848,12031,10536517632
24020178,304749,20760,14337,10544578560
24020179,399311,31352,15253,10553573376
24020180,326663,22937,12851,10560864256
24020181,68300,7488,12370,10561601536
24020182,823411,40169,14397,10579525632
24020183,286200,24282,12686,10586456064
24020184,425107,24454,15053,10593566720
24020185,580515,34128,14537,10605641728
24020186,397053,32450,13863,10613948416
24020187,214709,17101,13235,10618126336
24020188,538233,34153,14239,10630578176
